,2018-12,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12
0,6,6,6,6,4,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4,4,4,4,4,4
2,619,645,661,694,705,726,731,750,771,786,808,817,840
3,16,17,17,17,16,16,16,16,16,18,20,20,20
4,10,12,12,12,13,13,13,14,13,13,14,15,16
5,191,199,207,212,206,214,216,219,225,236,235,239,241
6,29,30,30,29,30,30,30,30,31,32,32,33,33
7,4,4,4,4,4,4,4,5,5,5,5,5,5
8,3048,3100,3136,3152,3146,3187,3146,3166,3207,3277,3347,3395,3443
9,721,724,723,723,701,701,703,711,716,713,720,721,725
10,913,928,942,951,901,909,917,940,955,984,994,1006,1007
11,144,148,157,163,158,162,162,162,166,165,171,177,179
12,7,11,10,10,8,8,7,7,7,7,7,7,7
13,30,29,28,29,28,28,28,28,28,28,28,31,31
14,5,5,5,6,5,5,5,5,5,5,5,5,5
15,1,1,1,1,1,1,1,1,1,1,1,1,1
16,738,736,739,741,769,774,784,792,798,808,823,834,846
17,80,78,78,79,77,80,80,81,79,80,80,80,79
18,98,98,100,99,95,95,93,94,94,92,92,92,92
19,216,210,216,222,225,228,228,234,236,235,238,243,243
