,vuzemi_kod,OborCount,PopCount,vuzemi_txt
0,3042,139,25558,Plzeňský kraj
1,3077,84,20184,Liberecký kraj
2,3123,152,28113,Olomoucký kraj
3,3034,136,28694,Jihočeský kraj
4,3051,91,13112,Karlovarský kraj
5,3018,382,52815,Hlavní město Praha
6,3085,116,24669,Královéhradecký kraj
7,3107,116,23441,Kraj Vysočina
8,3140,277,54404,Moravskoslezský kraj
9,3026,228,61037,Středočeský kraj
10,3131,137,25774,Zlínský kraj
11,3115,316,50499,Jihomoravský kraj
12,3069,193,38665,Ústecký kraj
13,3093,100,23602,Pardubický kraj
